NVECTOR	ELAPSED
200	0.038768
200	0.039015
200	0.038521
200	0.038121
200	0.038212
200	0.03817
200	0.03826
200	0.038208
200	0.038196
200	0.038255
200	0.038223
200	0.038201
200	0.038216
200	0.03826
200	0.038294
250	0.074269
250	0.074286
250	0.074222
250	0.074127
250	0.074301
250	0.075491
250	0.075063
250	0.074159
250	0.074183
250	0.074159
250	0.074096
250	0.074292
250	0.074207
250	0.074181
250	0.074356
300	0.128228
300	0.128434
300	0.128894
300	0.128488
300	0.128268
300	0.128269
300	0.128332
300	0.128168
300	0.128339
300	0.128178
300	0.128187
300	0.128203
300	0.128221
300	0.128326
300	0.128399
350	0.203519
350	0.20357
350	0.203473
350	0.203326
350	0.203274
350	0.203419
350	0.203732
350	0.203528
350	0.203604
350	0.203612
350	0.203625
350	0.204057
350	0.204964
350	0.204154
350	0.204251
400	0.304038
400	0.304475
400	0.30337
400	0.303422
400	0.304739
400	0.303296
400	0.303334
400	0.303291
400	0.30355
400	0.303978
400	0.303005
400	0.303138
400	0.303231
400	0.30909
400	0.304142
450	0.430503
450	0.430913
450	0.430037
450	0.430317
450	0.434345
450	0.43055
450	0.432598
450	0.43145
450	0.431574
450	0.430544
450	0.430773
450	0.430215
450	0.429826
450	0.430333
450	0.431437
500	0.590214
500	0.590007
500	0.588924
500	0.588838
500	0.589202
500	0.624706
500	0.590385
500	0.589574
500	0.589398
500	0.588999
500	0.58966
500	0.588995
500	0.590363
500	0.591554
500	0.59002
550	0.78467
550	0.783634
550	0.777787
550	0.777098
550	0.782576
550	0.786543
550	0.784937
550	0.78436
550	0.785283
550	0.78385
550	0.784054
550	0.783532
550	0.784534
550	0.784191
550	0.784209
600	1.01659
600	1.02408
600	1.01533
600	1.01845
600	1.01729
600	1.01682
600	1.01749
600	1.01614
600	1.0154
600	1.02199
600	1.01475
600	1.01891
600	1.01722
600	1.01659
600	1.02006
650	1.29025
650	1.29043
650	1.29524
650	1.29617
650	1.30014
650	1.29201
650	1.29097
650	1.31625
650	1.29069
650	1.29095
650	1.29051
650	1.28939
650	1.29502
650	1.29724
650	1.29388
700	1.61965
700	1.61049
700	1.61295
700	1.62226
700	1.61151
700	1.61114
