NVECTOR	ELAPSED
100000	0.017259
100000	0.016878
100000	0.016547
100000	0.016492
100000	0.016566
100000	0.016658
100000	0.016591
100000	0.016585
100000	0.016561
100000	0.016574
100000	0.016586
100000	0.016585
100000	0.016638
100000	0.016566
100000	0.016599
600000	0.121678
600000	0.121421
600000	0.121552
600000	0.121591
600000	0.123289
600000	0.121346
600000	0.121378
600000	0.121372
600000	0.121385
600000	0.121518
600000	0.121347
600000	0.121514
600000	0.122357
600000	0.121648
600000	0.121361
1100000	0.242996
1100000	0.265459
1100000	0.238293
1100000	0.238088
1100000	0.239378
1100000	0.239062
1100000	0.239775
1100000	0.238588
1100000	0.238691
1100000	0.239017
1100000	0.23882
1100000	0.239087
1100000	0.238792
1100000	0.239851
1100000	0.240037
1600000	0.36812
1600000	0.367776
1600000	0.367342
1600000	0.367422
1600000	0.368567
1600000	0.367426
1600000	0.367075
1600000	0.367518
1600000	0.367472
1600000	0.367377
1600000	0.367472
1600000	0.367629
1600000	0.367519
1600000	0.367815
1600000	0.370177
2100000	0.509071
2100000	0.511767
2100000	0.502897
2100000	0.50383
2100000	0.507398
2100000	0.509193
2100000	0.50773
2100000	0.50871
2100000	0.507276
2100000	0.507512
2100000	0.507539
2100000	0.508047
2100000	0.507171
2100000	0.507674
2100000	0.507146
2600000	0.655961
2600000	0.653286
2600000	0.655446
2600000	0.653268
2600000	0.653733
2600000	0.65415
2600000	0.654066
2600000	0.65464
2600000	0.653788
2600000	0.654696
2600000	0.654299
2600000	0.655013
2600000	0.656349
2600000	0.653849
2600000	0.654501
3100000	0.808966
3100000	0.806647
3100000	0.81128
3100000	0.80295
3100000	0.806143
3100000	0.807329
3100000	0.810673
3100000	0.813367
3100000	0.812435
3100000	0.809989
3100000	0.81022
3100000	0.809242
3100000	0.811042
3100000	0.813106
3100000	0.812805
3600000	0.984828
3600000	0.970544
3600000	0.975781
3600000	0.971641
3600000	0.971815
3600000	0.971249
3600000	0.968252
3600000	0.970158
3600000	0.977633
3600000	0.97147
3600000	0.974307
3600000	0.969504
3600000	0.973182
3600000	0.972829
3600000	0.97263
4100000	1.1357
4100000	1.14525
4100000	1.13766
4100000	1.14032
4100000	1.12468
4100000	1.12591
4100000	1.12703
4100000	1.14104
4100000	1.12375
4100000	1.12928
4100000	1.12622
4100000	1.13108
4100000	1.13161
4100000	1.12847
4100000	1.1293
4600000	1.29788
4600000	1.29258
4600000	1.29932
4600000	1.30575
