NVECTOR	ELAPSED
100000	0.009021
100000	0.009065
100000	0.011445
100000	0.010261
100000	0.008784
100000	0.008709
100000	0.008655
100000	0.008645
100000	0.008746
100000	0.008649
100000	0.008633
100000	0.008709
100000	0.008642
100000	0.008643
100000	0.008669
600000	0.066162
600000	0.064623
600000	0.064534
600000	0.064676
600000	0.06438
600000	0.064593
600000	0.064901
600000	0.064497
600000	0.064399
600000	0.064647
600000	0.064422
600000	0.064314
600000	0.064512
600000	0.06439
600000	0.064987
1100000	0.145241
1100000	0.127489
1100000	0.127398
1100000	0.127416
1100000	0.12796
1100000	0.127309
1100000	0.127243
1100000	0.127616
1100000	0.12736
1100000	0.128165
1100000	0.127684
1100000	0.127181
1100000	0.127229
1100000	0.127624
1100000	0.127679
1600000	0.196377
1600000	0.197315
1600000	0.197492
1600000	0.197181
1600000	0.197214
1600000	0.197457
1600000	0.19688
1600000	0.197532
1600000	0.196957
1600000	0.196829
1600000	0.197295
1600000	0.196681
1600000	0.196654
1600000	0.197699
1600000	0.20486
2100000	0.274556
2100000	0.274381
2100000	0.27383
2100000	0.27554
2100000	0.272207
2100000	0.274064
2100000	0.273459
2100000	0.273245
2100000	0.270995
2100000	0.275157
2100000	0.286232
2100000	0.282805
2100000	0.274075
2100000	0.275996
2100000	0.274956
2600000	0.356349
2600000	0.36058
2600000	0.357331
2600000	0.357418
2600000	0.356952
2600000	0.356285
2600000	0.356053
2600000	0.352887
2600000	0.354368
2600000	0.363728
2600000	0.358062
2600000	0.357941
2600000	0.358144
2600000	0.357194
2600000	0.35699
3100000	0.44267
3100000	0.444369
3100000	0.445155
3100000	0.443613
3100000	0.442387
3100000	0.444068
3100000	0.444577
3100000	0.444426
3100000	0.444386
3100000	0.444351
3100000	0.450846
3100000	0.442345
3100000	0.440942
3100000	0.444783
3100000	0.444532
3600000	0.533296
3600000	0.53598
3600000	0.535248
3600000	0.536012
3600000	0.537175
3600000	0.536109
3600000	0.536262
3600000	0.5365
3600000	0.536301
3600000	0.536231
3600000	0.543813
3600000	0.536573
3600000	0.538782
3600000	0.538825
3600000	0.543009
4100000	0.629123
4100000	0.630865
4100000	0.631244
4100000	0.630318
4100000	0.622848
4100000	0.62374
4100000	0.627588
4100000	0.630555
4100000	0.637526
4100000	0.630182
4100000	0.62773
4100000	0.628461
4100000	0.631364
4100000	0.629104
4100000	0.626283
4600000	0.715552
4600000	0.726928
4600000	0.729297
4600000	0.72806
4600000	0.733799
4600000	0.727576
4600000	0.729708
4600000	0.730619
4600000	0.727349
4600000	0.727407
4600000	0.728049
4600000	0.726664
4600000	0.726675
4600000	0.728022
4600000	0.726952
5100000	0.82455
5100000	0.832625
5100000	0.828526
5100000	0.82705
5100000	0.826862
5100000	0.826361
5100000	0.826747
5100000	0.825532
5100000	0.826795
5100000	0.833874
5100000	0.827901
5100000	0.830614
5100000	0.827613
5100000	0.827098
5100000	0.825943
5600000	0.924285
5600000	0.927457
5600000	0.927656
5600000	0.935375
5600000	0.928106
5600000	0.945827
5600000	0.91907
5600000	0.922395
5600000	0.932118
5600000	0.931315
5600000	0.929134
5600000	0.931323
5600000	0.929702
5600000	0.929636
5600000	0.929154
6100000	1.01879
6100000	1.02849
6100000	1.04786
6100000	1.0327
6100000	1.03295
6100000	1.03062
6100000	1.03155
6100000	1.04263
6100000	1.03287
6100000	1.03984
6100000	1.03295
6100000	1.03265
6100000	1.03235
6100000	1.03199
6100000	1.03732
6600000	1.1362
6600000	1.14831
6600000	1.13846
6600000	1.13829
6600000	1.13805
6600000	1.1376
6600000	1.13899
6600000	1.14197
6600000	1.14299
6600000	1.14124
6600000	1.13757
6600000	1.13879
6600000	1.13734
6600000	1.13681
6600000	1.14364
7100000	1.25322
7100000	1.2454
7100000	1.24476
7100000	1.24383
7100000	1.24526
7100000	1.24806
7100000	1.24558
7100000	1.24725
7100000	1.24432
7100000	1.24375
7100000	1.24366
7100000	1.2498
7100000	1.23927
7100000	1.25771
7100000	1.24294
7600000	1.34699
7600000	1.35027
7600000	1.36223
7600000	1.35359
7600000	1.35677
7600000	1.36456
7600000	1.45975
7600000	1.49051
7600000	1.49835
7600000	1.50931
7600000	1.43647
7600000	1.34113
7600000	1.33877
7600000	1.35098
7600000	1.35579
8100000	1.45525
8100000	1.46145
8100000	1.46463
8100000	1.46775
8100000	1.46358
8100000	1.46425
8100000	1.46078
8100000	1.46207
8100000	1.46301
8100000	1.45688
8100000	1.45306
8100000	1.46072
8100000	1.46742
8100000	1.46566
8100000	1.46086
8600000	1.56151
8600000	1.5639
8600000	1.57781
8600000	1.57064
8600000	1.5623
8600000	1.56692
8600000	1.57559
8600000	1.57273
8600000	1.56601
8600000	1.56775
8600000	1.57164
8600000	1.56974
8600000	1.56743
8600000	1.56413
8600000	1.56244
9100000	1.6674
9100000	1.67514
9100000	1.67096
9100000	1.67271
9100000	1.66593
9100000	1.67628
9100000	1.67458
9100000	1.67406
9100000	1.67277
9100000	1.67387
9100000	1.66573
9100000	1.67412
9100000	1.67876
9100000	1.68181
9100000	1.68428
9600000	1.78878
9600000	1.78582
9600000	1.78545
9600000	1.80113
9600000	1.78777
9600000	1.78615
9600000	1.78938
9600000	1.79109
9600000	1.78381
9600000	1.78894
9600000	1.78877
9600000	1.78259
9600000	1.77932
9600000	1.78323
9600000	1.78887
10100000	1.90404
10100000	1.90944
10100000	1.89772
10100000	1.90179
10100000	1.89334
10100000	1.91765
10100000	1.90985
10100000	1.90522
10100000	1.90923
10100000	1.916
10100000	1.90913
10100000	1.90555
10100000	1.9063
10100000	1.91267
10100000	1.91071
10600000	2.02262
10600000	2.02763
10600000	2.03187
10600000	2.02119
10600000	2.02526
10600000	2.03689
10600000	2.03711
10600000	2.01676
10600000	2.01605
10600000	2.02559
10600000	2.02687
10600000	2.01866
10600000	2.01921
10600000	2.01904
10600000	2.01783
11100000	2.13487
11100000	2.14022
11100000	2.13415
11100000	2.12834
11100000	2.13147
11100000	2.1277
11100000	2.13807
11100000	2.13604
11100000	2.13605
11100000	2.14455
11100000	2.12931
11100000	2.13533
11100000	2.14095
11100000	2.13585
11100000	2.1269
11600000	2.24829
11600000	2.23743
11600000	2.23446
11600000	2.24476
11600000	2.26168
11600000	2.23611
11600000	2.23528
11600000	2.25054
11600000	2.2525
11600000	2.23583
11600000	2.24709
11600000	2.23402
11600000	2.2492
11600000	2.25078
11600000	2.25197
12100000	2.36029
12100000	2.35963
12100000	2.36522
12100000	2.36036
12100000	2.37725
12100000	2.36486
12100000	2.36155
12100000	2.37329
12100000	2.35164
12100000	2.36376
12100000	2.35711
12100000	2.37198
12100000	2.36155
12100000	2.35336
12100000	2.36984
12600000	2.48253
12600000	2.47955
12600000	2.49849
12600000	2.47563
12600000	2.47955
12600000	2.4961
12600000	2.47766
12600000	2.52818
12600000	2.51399
12600000	2.48434
12600000	2.48121
12600000	2.48369
12600000	2.48364
12600000	2.49149
12600000	2.49059
