NVECTOR	ELAPSED
5000	0.016658
5000	0.016837
5000	0.016958
5000	0.016616
5000	0.016566
5000	0.017579
5000	0.01656
5000	0.016627
5000	0.01654
5000	0.016692
5000	0.017172
5000	0.017437
5000	0.016956
5000	0.017346
5000	0.017006
12000	0.098208
12000	0.095362
12000	0.095361
12000	0.095546
12000	0.095432
12000	0.095443
12000	0.095395
12000	0.095375
12000	0.095473
12000	0.096077
12000	0.09536
12000	0.09517
12000	0.09566
12000	0.095311
12000	0.095363
19000	0.239495
19000	0.23911
19000	0.240095
19000	0.239183
19000	0.239098
19000	0.239153
19000	0.239111
19000	0.239738
19000	0.239125
19000	0.240042
19000	0.2415
19000	0.239678
19000	0.240976
19000	0.239477
19000	0.239558
26000	0.448048
26000	0.449157
26000	0.448355
26000	0.448038
26000	0.448588
26000	0.448295
26000	0.448574
26000	0.447996
26000	0.448458
26000	0.448289
26000	0.448413
26000	0.444542
26000	0.448087
26000	0.444853
26000	0.448248
33000	0.72428
33000	0.693175
33000	0.717653
33000	0.71581
33000	0.717792
33000	0.719407
33000	0.722017
33000	0.722325
33000	0.72162
33000	0.712336
33000	0.72124
33000	0.721634
33000	0.721609
33000	0.721368
33000	0.721577
40000	1.06407
40000	1.06183
40000	1.06098
40000	1.06153
40000	1.06187
40000	1.06053
40000	1.06069
40000	1.06449
40000	1.06045
40000	1.05096
40000	1.05798
40000	1.06073
40000	1.06144
40000	1.06075
40000	1.04638
47000	1.4568
47000	1.46394
47000	1.46534
47000	1.46531
47000	1.4637
47000	1.45324
47000	1.45877
47000	1.46374
47000	1.46358
47000	1.46382
47000	1.44749
47000	1.45502
47000	1.46348
47000	1.46572
47000	1.46709
54000	1.93721
54000	1.9345
54000	1.93317
54000	1.92876
54000	1.93461
54000	1.93235
54000	1.9306
54000	1.93667
54000	1.93722
54000	1.93372
54000	1.93338
54000	1.93659
54000	1.92648
54000	1.93258
54000	1.93305
61000	2.48105
61000	2.45523
61000	2.4697
61000	2.46807
61000	2.452
61000	2.46598
61000	2.46604
61000	2.46919
61000	2.46879
61000	2.47276
61000	2.45229
61000	2.47147
61000	2.47282
61000	2.46642
61000	2.47245
68000	3.06586
68000	3.09175
68000	3.10859
68000	3.09577
68000	3.06391
68000	3.08697
68000	3.10796
68000	3.13585
68000	3.17537
68000	3.18208
68000	3.17493
68000	3.18122
68000	3.1269
68000	3.0772
68000	3.05807
75000	3.73804
75000	3.74885
75000	3.73081
75000	3.71837
75000	3.73953
75000	3.73609
75000	3.74182
75000	3.73512
75000	3.7368
75000	3.73511
75000	3.72788
75000	3.7357
75000	3.73259
75000	3.73323
75000	3.73424
82000	4.4673
82000	4.4625
82000	4.4424
82000	4.46623
82000	4.4604
82000	4.44524
82000	4.46665
82000	4.53871
82000	4.61253
82000	4.50965
82000	4.4639
82000	4.46063
82000	4.46307
82000	4.43881
82000	4.45892
89000	5.25907
89000	5.25038
89000	5.25455
89000	5.25667
89000	5.26022
89000	5.25717
89000	5.2543
89000	5.25242
89000	5.25249
89000	5.25424
89000	5.25119
89000	5.23581
89000	5.2512
89000	5.25358
89000	5.26047
96000	6.10408
96000	6.11451
96000	6.11509
96000	6.11844
96000	6.10977
96000	6.11537
96000	6.08143
96000	6.11929
96000	6.11574
96000	6.11178
96000	6.12028
96000	6.10669
96000	6.11095
96000	6.09677
96000	6.11958
103000	7.02174
103000	7.00037
103000	7.04066
103000	7.00511
103000	7.04214
103000	7.03633
103000	7.04338
103000	7.0319
103000	7.03018
103000	7.02184
103000	7.04557
103000	7.02755
103000	7.04159
103000	7.02168
103000	7.03966
110000	8.00265
110000	8.03214
110000	8.02154
110000	8.01986
110000	8.01154
110000	8.03287
110000	8.08651
110000	7.98168
110000	8.0388
110000	8.02506
110000	8.0251
110000	8.02304
110000	8.02098
110000	8.02787
110000	8.00225
117000	9.08782
117000	9.09017
117000	9.07579
117000	9.09057
117000	9.08262
117000	9.07679
117000	9.08807
117000	9.0826
117000	9.08721
117000	9.0757
117000	9.08193
117000	9.06079
117000	9.35322
117000	9.08124
117000	9.08691
124000	10.2037
124000	10.2054
124000	10.188
124000	10.2012
124000	10.18
124000	10.2017
124000	10.1938
124000	10.1854
124000	10.2096
124000	10.1901
124000	10.2073
124000	10.1896
124000	10.2026
124000	10.1916
124000	10.2072
131000	11.3917
131000	11.3595
131000	11.3705
131000	11.4018
131000	11.4003
131000	11.3927
131000	11.3715
131000	11.3779
131000	11.3862
131000	11.3795
131000	11.3853
131000	11.3403
131000	11.391
131000	11.4011
131000	11.3384
138000	12.6264
138000	12.6346
138000	12.6355
138000	12.6302
138000	12.622
138000	12.6403
138000	12.6493
138000	12.6059
138000	12.5978
138000	12.6228
138000	12.6373
138000	12.6387
138000	12.6436
138000	12.6458
138000	12.6098
145000	13.927
145000	13.9184
145000	13.9499
145000	13.952
145000	13.9649
145000	13.9541
145000	13.9381
145000	13.9318
145000	13.9526
145000	13.9068
145000	13.9493
145000	13.9643
145000	13.9357
145000	13.9411
145000	13.9462
152000	15.3241
152000	15.3242
152000	15.3325
152000	15.339
152000	15.3431
152000	15.3316
152000	15.3341
152000	15.3319
152000	15.3315
152000	15.3338
152000	15.3491
152000	15.3361
152000	15.3162
152000	15.3448
152000	15.2845
159000	16.772
159000	16.7683
159000	16.7714
159000	16.7626
159000	16.7812
159000	16.7658
159000	16.7653
159000	16.7734
159000	16.782
159000	16.7332
159000	16.7741
159000	16.7576
159000	16.7781
159000	16.7708
159000	16.7715
166000	18.2973
166000	18.2745
166000	18.2787
166000	18.2558
166000	18.2865
166000	18.2924
166000	18.2933
166000	18.2794
166000	18.2617
166000	18.282
166000	18.2886
166000	18.3298
166000	18.5093
166000	18.2693
166000	18.2964
173000	19.8457
173000	19.8111
173000	19.8169
173000	19.8936
173000	19.8627
173000	20.0372
173000	19.8782
173000	19.8293
173000	19.8645
173000	19.8438
173000	19.8582
173000	19.8577
173000	19.8542
173000	19.8672
173000	19.8602
250000	41.4582
500000	165.785
1000000	664.26
