NVECTOR	ELAPSED
200	0.007534
200	0.007639
200	0.007606
200	0.007418
200	0.00734
200	0.007408
200	0.007463
200	0.007414
200	0.00736
200	0.007463
200	0.007521
200	0.007473
200	0.007593
200	0.007708
200	0.00744
250	0.014484
250	0.014307
250	0.015431
250	0.021269
250	0.019017
250	0.013867
250	0.013801
250	0.013769
250	0.013878
250	0.013804
250	0.013777
250	0.01384
250	0.013768
250	0.01377
250	0.013804
300	0.02367
300	0.023674
300	0.023778
300	0.023673
300	0.023745
300	0.023632
300	0.023706
300	0.023672
300	0.023676
300	0.023729
300	0.024578
300	0.023788
300	0.02373
300	0.02371
300	0.023805
350	0.037462
350	0.037433
350	0.037506
350	0.037512
350	0.037433
350	0.037439
350	0.037436
350	0.037437
350	0.03765
350	0.037406
350	0.037436
350	0.037437
350	0.038086
350	0.037615
350	0.037443
400	0.055737
400	0.055676
400	0.055843
400	0.055664
400	0.055659
400	0.05577
400	0.05567
400	0.055703
400	0.056525
400	0.055915
400	0.061646
400	0.055846
400	0.055545
400	0.055514
400	0.05585
450	0.079255
450	0.079241
450	0.079407
450	0.079655
450	0.079279
450	0.07921
450	0.079384
450	0.078789
450	0.079027
450	0.078733
450	0.079723
450	0.079123
450	0.079467
450	0.079464
450	0.079074
500	0.108752
500	0.108327
500	0.108828
500	0.108977
500	0.108437
500	0.108805
500	0.108658
500	0.108975
500	0.108491
500	0.108185
500	0.108555
500	0.108316
500	0.108818
500	0.110347
500	0.108603
550	0.143957
550	0.144061
550	0.144221
550	0.143817
550	0.143822
550	0.143786
550	0.144996
550	0.143889
550	0.143732
550	0.143733
550	0.144907
550	0.143901
550	0.143867
550	0.144047
550	0.144784
600	0.186381
600	0.186373
600	0.186974
600	0.186687
600	0.186859
600	0.186441
600	0.187494
600	0.1864
600	0.19149
600	0.187452
600	0.185257
600	0.185746
600	0.18706
600	0.186786
600	0.187211
650	0.23774
650	0.237046
650	0.237429
650	0.239047
650	0.236997
650	0.236689
650	0.236662
650	0.237062
650	0.236701
650	0.237471
650	0.236704
650	0.236665
650	0.236517
650	0.236673
650	0.236617
700	0.29551
700	0.29537
700	0.29504
700	0.295126
700	0.294938
700	0.295467
700	0.295153
700	0.31252
700	0.293914
700	0.295633
700	0.295561
700	0.294899
700	0.295033
700	0.295178
700	0.295041
750	0.362658
750	0.364987
750	0.363761
750	0.363111
750	0.363474
750	0.36271
750	0.362882
750	0.362618
750	0.362165
750	0.36269
750	0.378568
750	0.376068
750	0.377942
750	0.389957
750	0.373196
800	0.460985
800	0.481177
800	0.482845
800	0.481609
800	0.485812
800	0.482743
800	0.48155
800	0.482105
800	0.48241
800	0.483897
800	0.483412
800	0.480091
800	0.481952
800	0.477976
800	0.458163
850	0.529494
850	0.528973
850	0.528826
850	0.528846
850	0.528851
850	0.534311
850	0.529344
850	0.529483
850	0.53265
850	0.529714
850	0.530363
850	0.529557
850	0.530882
850	0.528776
850	0.528998
900	0.632427
900	0.631594
900	0.631277
900	0.631046
900	0.631486
900	0.639186
900	0.633484
900	0.633854
900	0.632746
900	0.63208
900	0.634267
900	0.631845
900	0.631933
900	0.631251
900	0.631047
950	0.746174
950	0.746419
950	0.751975
950	0.748662
950	0.748715
950	0.748207
950	0.747467
950	0.746774
950	0.746807
950	0.746417
950	0.746517
950	0.74551
950	0.746561
950	0.755449
950	0.749441
1000	0.886516
1000	0.880092
1000	0.877883
1000	0.879311
1000	0.87726
1000	0.878194
1000	0.878453
1000	0.885694
1000	0.881357
1000	0.881197
1000	0.879278
1000	0.878175
1000	0.87787
1000	0.877878
1000	0.877499
1050	1.02487
1050	1.03071
1050	1.02587
1050	1.13773
1050	1.02542
1050	1.02338
