NVECTOR	ELAPSED
20000	0.026924
20000	0.026028
20000	0.026281
20000	0.02575
20000	0.025835
20000	0.025659
20000	0.025684
20000	0.025852
20000	0.025777
20000	0.025694
20000	0.0259
20000	0.026085
20000	0.026263
20000	0.026246
20000	0.025975
27200	0.033973
27200	0.033896
27200	0.033815
27200	0.033919
27200	0.033902
27200	0.03382
27200	0.034309
27200	0.03392
27200	0.03383
27200	0.034042
27200	0.033774
27200	0.033792
27200	0.033795
27200	0.033762
27200	0.033882
34400	0.044008
34400	0.044312
34400	0.044119
34400	0.044319
34400	0.044271
34400	0.044371
34400	0.044268
34400	0.045146
34400	0.044303
34400	0.044191
34400	0.044213
34400	0.044192
34400	0.044362
34400	0.055533
34400	0.044571
41600	0.0539
41600	0.054656
41600	0.054348
41600	0.054259
41600	0.054246
41600	0.055275
41600	0.054311
41600	0.054276
41600	0.054401
41600	0.054367
41600	0.054149
41600	0.054667
41600	0.054405
41600	0.054541
41600	0.054432
48800	0.064521
48800	0.065028
48800	0.064664
48800	0.064467
48800	0.064513
48800	0.064526
48800	0.064991
48800	0.064543
48800	0.06464
48800	0.064555
48800	0.064488
48800	0.065155
48800	0.064662
48800	0.064605
48800	0.064445
56000	0.069063
56000	0.069723
56000	0.069139
56000	0.069042
56000	0.069029
56000	0.06965
56000	0.069053
56000	0.06907
56000	0.069043
56000	0.069048
56000	0.09928
56000	0.069154
56000	0.069086
56000	0.069046
56000	0.069446
63200	0.078573
63200	0.07958
63200	0.078767
63200	0.079527
63200	0.07955
63200	0.079586
63200	0.079629
63200	0.079468
63200	0.078877
63200	0.078919
63200	0.078797
63200	0.079552
63200	0.079649
63200	0.079066
63200	0.079067
70400	0.090825
70400	0.09322
70400	0.090198
70400	0.089904
70400	0.090174
70400	0.092718
70400	0.09386
70400	0.091783
70400	0.090904
70400	0.090725
70400	0.09078
70400	0.091025
70400	0.093203
70400	0.093939
70400	0.09404
77600	0.105585
77600	0.105371
77600	0.105557
77600	0.105372
77600	0.105441
77600	0.105337
77600	0.105368
77600	0.105279
77600	0.105637
77600	0.104868
77600	0.105414
77600	0.105036
77600	0.102358
77600	0.105545
77600	0.105654
84800	0.11499
84800	0.114876
84800	0.114301
84800	0.114261
84800	0.114219
84800	0.114106
84800	0.114331
84800	0.114142
84800	0.114028
84800	0.114106
84800	0.114171
84800	0.113938
84800	0.113885
84800	0.113958
84800	0.113829
92000	0.125734
92000	0.125263
92000	0.125351
92000	0.125394
92000	0.130031
92000	0.125913
92000	0.125749
92000	0.125485
92000	0.12557
92000	0.12545
92000	0.125341
92000	0.125387
92000	0.125286
92000	0.124284
92000	0.122044
99200	0.130654
99200	0.130699
99200	0.134704
99200	0.135257
99200	0.134841
99200	0.134581
99200	0.135178
99200	0.134651
99200	0.135107
99200	0.135087
99200	0.134675
99200	0.134807
99200	0.134825
99200	0.135284
99200	0.130816
106400	0.13341
106400	0.132828
106400	0.132333
106400	0.132941
106400	0.132807
106400	0.140367
106400	0.137845
106400	0.133817
106400	0.133802
106400	0.13372
106400	0.136881
106400	0.136658
106400	0.136856
106400	0.137605
106400	0.137622
113600	0.146821
113600	0.146723
113600	0.147385
113600	0.146928
113600	0.14664
113600	0.147103
113600	0.146789
113600	0.145841
113600	0.146517
113600	0.14675
113600	0.14675
113600	0.146871
113600	0.14612
113600	0.147324
113600	0.146841
120800	0.157761
120800	0.158178
120800	0.158218
120800	0.158113
120800	0.158303
120800	0.158263
120800	0.158074
120800	0.158172
120800	0.158175
120800	0.158205
120800	0.157917
120800	0.157972
120800	0.1582
120800	0.158142
120800	0.158128
128000	0.167304
128000	0.167247
128000	0.167428
128000	0.167441
128000	0.167301
128000	0.16788
128000	0.167899
128000	0.167404
128000	0.16752
128000	0.167068
128000	0.167595
128000	0.16759
128000	0.167422
128000	0.167427
128000	0.167438
135200	0.181196
135200	0.181457
135200	0.184442
135200	0.179923
135200	0.180876
135200	0.181216
135200	0.180348
135200	0.179945
135200	0.180038
135200	0.17541
135200	0.175311
135200	0.175311
135200	0.174939
135200	0.175236
135200	0.175187
142400	0.18507
142400	0.184081
142400	0.18925
142400	0.189358
142400	0.189372
142400	0.190443
142400	0.190671
142400	0.190693
142400	0.190816
142400	0.190641
142400	0.195949
142400	0.189473
142400	0.189176
142400	0.19054
142400	0.190501
149600	0.199913
149600	0.19285
149600	0.192837
149600	0.192777
149600	0.193665
149600	0.199511
149600	0.199583
149600	0.199586
149600	0.199871
149600	0.199787
149600	0.199904
149600	0.199579
149600	0.192474
149600	0.192677
149600	0.194642
156800	0.206334
156800	0.206771
156800	0.206271
156800	0.206684
156800	0.205895
156800	0.206118
156800	0.205858
156800	0.20586
156800	0.205837
156800	0.206971
156800	0.205827
156800	0.206858
156800	0.205931
156800	0.205928
156800	0.205957
164000	0.214926
164000	0.214862
164000	0.215177
164000	0.214871
164000	0.214901
164000	0.214724
164000	0.214862
164000	0.214764
164000	0.215077
164000	0.214749
164000	0.214905
164000	0.215035
164000	0.214995
164000	0.214849
164000	0.215006
171200	0.223836
171200	0.224886
171200	0.230639
171200	0.230682
171200	0.230659
171200	0.230591
171200	0.227797
171200	0.223872
171200	0.224046
171200	0.223794
171200	0.229493
171200	0.231865
171200	0.23191
171200	0.231956
171200	0.231828
178400	0.246317
178400	0.241516
178400	0.246152
178400	0.245836
178400	0.246025
178400	0.246261
178400	0.24615
178400	0.246096
178400	0.245823
178400	0.246179
178400	0.246002
178400	0.238009
178400	0.238147
178400	0.237954
178400	0.238019
185600	0.247364
185600	0.247384
185600	0.246575
185600	0.246802
185600	0.246748
185600	0.246675
185600	0.249573
185600	0.255012
185600	0.255367
185600	0.253709
185600	0.255451
185600	0.40213
185600	0.247451
185600	0.248113
185600	0.247508
192800	0.255214
192800	0.255941
192800	0.256487
192800	0.255397
192800	0.255586
192800	0.2555
192800	0.25553
192800	0.25535
192800	0.255414
192800	0.255627
192800	0.284631
192800	0.255402
192800	0.255553
192800	0.255258
192800	0.254603
200000	0.264271
200000	0.264934
200000	0.264407
200000	0.264706
200000	0.264378
200000	0.264734
200000	0.264551
200000	0.26436
200000	0.264446
200000	0.264671
200000	0.264652
200000	0.264583
200000	0.264692
200000	0.264647
200000	0.26459
