NVECTOR	ELAPSED
20000	0.010396
20000	0.009628
20000	0.009637
20000	0.009832
20000	0.009585
20000	0.009664
20000	0.00951
20000	0.009497
20000	0.009543
20000	0.009588
20000	0.009541
20000	0.00952
20000	0.009569
20000	0.009455
20000	0.009554
27200	0.013041
27200	0.012923
27200	0.01306
27200	0.012856
27200	0.012869
27200	0.012921
27200	0.012996
27200	0.013033
27200	0.01312
27200	0.01304
27200	0.012998
27200	0.013004
27200	0.012992
27200	0.013014
27200	0.012992
34400	0.016953
34400	0.016779
34400	0.01675
34400	0.016744
34400	0.016885
34400	0.016747
34400	0.017244
34400	0.016868
34400	0.016821
34400	0.016845
34400	0.017326
34400	0.021105
34400	0.016844
34400	0.016883
34400	0.01676
41600	0.020093
41600	0.020085
41600	0.020139
41600	0.020046
41600	0.020171
41600	0.020108
41600	0.020052
41600	0.020077
41600	0.02003
41600	0.020039
41600	0.02007
41600	0.020008
41600	0.020014
41600	0.020003
41600	0.020041
48800	0.023728
48800	0.023652
48800	0.02361
48800	0.023677
48800	0.024041
48800	0.024027
48800	0.023731
48800	0.023629
48800	0.023754
48800	0.023616
48800	0.023559
48800	0.023722
48800	0.023824
48800	0.023593
48800	0.023627
56000	0.026763
56000	0.026813
56000	0.026721
56000	0.026707
56000	0.026884
56000	0.026861
56000	0.026781
56000	0.026862
56000	0.027271
56000	0.027064
56000	0.026994
56000	0.026824
56000	0.026954
56000	0.026777
56000	0.026854
63200	0.030462
63200	0.03047
63200	0.030349
63200	0.030326
63200	0.030345
63200	0.030468
63200	0.030377
63200	0.030374
63200	0.030412
63200	0.030322
63200	0.03047
63200	0.030321
63200	0.0304
63200	0.030404
63200	0.030327
70400	0.033862
70400	0.033919
70400	0.033906
70400	0.033852
70400	0.033828
70400	0.033794
70400	0.033679
70400	0.033856
70400	0.034049
70400	0.033798
70400	0.033791
70400	0.033819
70400	0.035665
70400	0.033695
70400	0.033561
77600	0.03705
77600	0.036927
77600	0.036929
77600	0.037039
77600	0.037028
77600	0.037236
77600	0.037289
77600	0.037747
77600	0.037284
77600	0.0373
77600	0.037213
77600	0.037221
77600	0.037497
77600	0.037213
77600	0.037352
84800	0.040755
84800	0.040625
84800	0.040665
84800	0.040703
84800	0.04101
84800	0.040659
84800	0.040717
84800	0.040663
84800	0.040666
84800	0.040652
84800	0.04063
84800	0.040698
84800	0.040756
84800	0.040669
84800	0.040688
92000	0.044294
92000	0.044225
92000	0.044126
92000	0.044216
92000	0.044144
92000	0.044207
92000	0.044133
92000	0.044333
92000	0.044167
92000	0.044199
92000	0.044128
92000	0.044238
92000	0.044138
92000	0.044218
92000	0.044179
99200	0.047893
99200	0.047591
99200	0.047673
99200	0.047571
99200	0.047599
99200	0.047572
99200	0.04758
99200	0.04778
99200	0.047566
99200	0.047638
99200	0.047573
99200	0.047678
99200	0.047654
99200	0.047705
99200	0.047641
106400	0.05121
106400	0.05106
106400	0.051081
